id;character;origin_dialogue;translated_dialogue
ASGD027GL;GL;Oh, no!;
ASGD028RA;RA;What?;
ASGD029GL;GL;This little guy looks terrible.;
ASGD030GL;GL;My oh my. Winter sure was hard on this poor, old garden. I've got a lot of work to do when I get back, eh?;
ASGD001GL;GL;Thank you, all of you! You're all so kind! You make a girl so happy!;
ASGD003GL;GL;You must be my new leading man. Aren't you handsome! But my gracious, you're so young! Tell me WHY do they keep casting me with such mere babes? I guess that's the curse of having an eternally young face.;
ASGD004GL;GL;Come, Sweetie! Take a bow! Gloria Von Gouten is not afraid to share the spotlight!;
ASGD012GL;GL;It's talent that lands the statues, boy! Come here! Let me show you my award!;
ASGD013GL;GL;Ahhh!;
ASGD015RA;RA;Ms. Von Gouton?;
ASGD022GL;GL;What's that, boy? I heard you! You think I'm old, washed-up, a has-been. I'll show you!;
ASGD023RA;RA;Ahhhh!;
ASGD031GL;GL;Ah, you decided to take one last curtain call after all! How nice!;
ASGD032GL;GL;I knew you'd return to the stage someday! They all do!;
ASGD033GL;GL;We've lost some of our best actors to this whole television thing, but I tell you it's just a fad!;
ASGD034GL;GL;Oh, please. It is my policy not to receive gifts from fans, because they already give me so much!;
ASGD035GL;GL;Is that for my hair? Thank you, but I bring my own hairdresser to every production.;
ASGD036GL;GL;Really! In my day, child, we didn't need props. We acted!;
ASGD037GL;GL;Oh, my robe, how nice of you. Not quite ready to go in yet, though, dear.;
ASGD038GL;GL;Oh! Oh, my! What happened? Did I faint again and not notice?;
ASGD041GL;GL;Please excuse me, but your taking me away from the fans.;
ASGD042GL;GL;Oh, pardon me!;
ASGD043GL;GL;You know, a better director wouldn't let us walk on each other like this.;
ASGD044GL;GL;Why, isn't that nice?;
ASGD045GL;GL;Oooh, that's not very nice.;
ASGD046GL;GL;Oh, my no. Not a standing ovation. Please! I don't deserve that! Oh...;
ASGD047GL;GL;Please, don't bother my audience.;
ASGD048GL;GL;Please don't do that.;
ASGD049GL;GL;Oh, my! Usher!;
ASGD050RA;RA;I'll talk to her as soon as her performance is over.;
ASGD051RA;RA;This audience is dead. I don't see any green on it anywhere.;
ASBF001ED;ED;Yes, go, please. My thoughts are hideous enough to myself. No one should have to suffer them but I.;
ASBL001RA;RA;Rrrrrr!;
ASBL002LI;LI;Rrrrr!;
ASBL003LI;LI;Man that lock's tough!;
ASBL004RA;RA;Yeah. I think we're definitely going to need Sasha and Milla's help with this one.;
ASBL005LI;LI;Yeah. You keep saying that.;
ASBO001BO;BO;Ah! Who are you working for?;
ASBO002RA;RA;Wh--uh... I'm with the Psychonauts!;
ASBO003BO;BO;The who? Oh, that doesn't fit in. That doesn't fit in at all. Maybe I've got this all wrong!;
ASBO004RA;RA;Who do YOU work for?;
ASBO005BO;BO;I'm the guard. I've been fully trained.;
ASBO006RA;RA;You gotta let me in! My friend's in there!;
ASBO007BO;BO;Sorry, the Milkman has the key. I am not the Milkman. I'm the guard.;
ASBO008RA;RA;Where's the Milkman?;
ASBO009BO;BO;I'll bet he's sleeping on the job. His milk is delicious. Everybody wants it. He'll be here soon.;
ASBO010BO;BO;Then the lies will end.;
ASBR001BO;BO;...the Milkman...;
ASBR002BO;BO;...those little green cops...;
ASBR003BO;BO;...the military-industrial complex...;
ASBR004BO;BO;...the suits...;
ASBR005BO;BO;...the analyticals, man...;
ASBR006BO;BO;...those Bermuda Triangle sharks…;
ASBR007BO;BO;...all them haters...;
ASBR008BO;BO;...Hernando...;
ASBR009BO;BO;...that little fat kid with the bunny...;
ASBR010BO;BO;...the doctors back at the clinic...;
ASBR011BO;BO;...the pelicans...;
ASBR012BO;BO;...the squirrels...;
ASBR013BO;BO;...the manager of that boy band...;
ASBR014BO;BO;...those eggheads in their ivory tower...;
ASBR015BO;BO;...that guy with the eye patch...;
ASBR016BO;BO;...the psychowhatsits...;
ASBR017BO;BO;...the freaky hunchback girl who loves brains so much...;
ASBR018BO;BO;...the dairy industry...;
ASBR019BO;BO;...the kid with the goggles...;
ASBR020BO;BO;...the dog track regulators...;
ASBR021BO;BO;...the tuna canneries...;
ASBR022BO;BO;...the national park system...;
ASBR023BO;BO;...big oil...;
ASBR024BO;BO;...organized labor...;
ASBR025BO;BO;...the rodeo clown cartel...;
ASBR026BO;BO;...the media...;
ASBR027BO;BO;...the cows...;
ASBR028BO;BO;...foreign toy makers...;
ASBR030BO;BO;...the intelligencia...;
ASBR031BO;BO;...the fluoride producers…;
ASBR032BO;BO;...a secret doomsday cult...;
ASBR033BO;BO;...the president's brother...;
ASBR034BO;BO;...my first cat Seymour...;
ASBR035BO;BO;...one of my nostril hairs...;
ASBR036BO;BO;...the intelligence community...;
ASBR037BO;BO;...the five richest families in the country...;
ASBR038BO;BO;...all those stupid crows...;
ASBR039BO;BO;...some sort of power, you know...;
ASBR040BO;BO;...and...;
ASBR041BO;BO;...or else, maybe...;
ASBR042BO;BO;...no, no, wait. I mean...;
ASBR043BO;BO;...in conjunction with...;
ASBR044BO;BO;...with the full blessing of...;
ASBR045BO;BO;...with the backing of...;
ASBR046BO;BO;...who are merely the pawns of...;
ASBR047BO;BO;...who are the puppet masters of...;
ASBR048BO;BO;...went to the prom with...;
ASBR049BO;BO;...ate a whole jar of olives with...;
ASBR050BO;BO;...are working for...;
ASBR051BO;BO;...are telling my location to...;
ASBR052BO;BO;...made a deal back in '68 with...;
ASBR053BO;BO;...sold their soul to...;
ASBR054BO;BO;...are controlled by...;
ASBR055BO;BO;...bought votes to protect...;
ASBR056BO;BO;...are doing the dirty work of...;
ASBR057BO;BO;...got in bed with...;
ASBR058BO;BO;...signed a secret treaty with...;
ASBR059BO;BO;...has been officially linked with...;
ASBR060BO;BO;...know the truth.;
ASBR061BO;BO;...won't stop visiting me.;
ASBR062BO;BO;...keep sparring with me.;
ASBR063BO;BO;...have been spitting on me all day.;
ASBR064BO;BO;...do this horrible thing, but in conjunction with who? Or whom?;
ASBR065BO;BO;...are crawling all over my skin.;
ASBR066BO;BO;...bit me all night so I couldn't sleep.;
ASBR067BO;BO;...have everyone fooled.;
ASBR068BO;BO;...were digging away at the plastics.;
ASBR069BO;BO;...were dialing in through the optics.;
ASBR070BO;BO;...stole my theories and reprinted them incorrectly, to discredit them.;
ASBR071BO;BO;...are not to be trusted.;
ASBR072BO;BO;...have been living off the teat of the dairy industry.;
ASBR073BO;BO;...have been fixing oil prices...;
ASBR074BO;BO;...assassinated the one man in their way...;
ASBR075BO;BO;...pretty much control everything.;
ASBR076BO;BO;...pick who lives and who dies and what the football scores are going to be every week.;
ASBR077BO;BO;...and they obviously...;
ASBR078BO;BO;...and I know they...;
ASBR079BO;BO;...but they can't hide that they...;
ASBR080BO;BO;...ha! Like I don't know that they...;
ASBR081BO;BO;...and, let's just say for now that they...;
ASBR082BO;BO;...and, if I know anything, I know that they...;
ASBR083BO;BO;...and sure as the nose on my face, I am sure they...;
ASBR084BO;BO;...to get ...;
ASBR085BO;BO;...because they want ...;
ASBR086BO;BO;...in order to monopolize...;
ASBR087BO;BO;...to keep down...;
ASBR088BO;BO;...so the people never find out about...;
ASBR089BO;BO;...and who wins? Them. Who loses?;
ASBR090BO;BO;...all in a big fight over...;
ASBR091BO;BO;...the truth.;
ASBR092BO;BO;...all of us.;
ASBR093BO;BO;...the whole sack of lies.;
ASBR094BO;BO;...the innocents.;
ASBR095BO;BO;...the biggest conspiracy of all.;
ASBR096BO;BO;...the infrastructure.;
ASBR097BO;BO;...the lap belt, man.;
ASBR098BO;BO;...the water supply.;
ASBR099BO;BO;...the rotundra.;
ASBR100BO;BO;...the A.M. tenderizer.;
ASBR101BO;BO;...last specimen of the super-virus.;
ASBR102BO;BO;...the witnesses.;
ASBR103BO;BO;...my hooch.;
ASBR104BO;BO;...the hanging udders.;
ASBR105BO;BO;...a clean-burning, perpetual energy source.;
ASBR106BO;BO;...a religious artifact with supposedly unimaginable powers.;
ASBR107BO;BO;...exactly what, nobody knows.;
ASBR108BO;BO;How long do they think they can hide that?;
ASBR109BO;BO;I mean, who do they think they're fooling?;
