id;character;origin_dialogue;translated_dialogue
BBLI001BZ;BZ;We can't get past this. This is STUPID.;
BBLI002RA;RA;Hmm. Looks like a test. There's probably a secret, more advanced route.;
BBLI003BZ;BZ;What's THAT supposed to mean? You think you're more advanced than me, new kid?;
BBLI004RA;RA;Sorry. What?;
BBLI005BZ;BZ;I'm not stupid. You're stupid. The Coach is stupid. The whole camp is stupid. That thing flying at you is stupid!;
BBLI006RA;RA;What's flying at me?;
BBLI007RA;RA;Wha--;
BBLI008BZ;BZ;Bobby Zilch's foot, that's what! Ya stupid new kid! Yeah!;
BBLI009BZ;BZ;Eh, eh-heh! Eh, eh, eh-eh! Eh, eh-eh!;
BBLI010RA;RA;Waaaahhh-uh!;
BBLI011RA;RA;Uh-huh?;
BBLI012RA;RA;Oh, heh. Thanks for saving me!;
BBLI013LI;LI;Well, actually, I was saving this plant.;
BBLI014RA;RA;Huh. Never seen one so meaty before.;
BBLI015LI;LI;I have. It's been appearing in this creepy nightmare I keep having.;
BBLI016RA;RA;You're having nightmares? Oh, I've been reading about how to fix those! Will you let me see one?;
BBLI017LI;LI;Hmmm. No.;
BBVI001RA;RA;Hello!;
BBVI002RA;RA;Hello?;
BBVI003RA;RA;Guess I'm early.;
BBVI004RA;RA;Hmmm...;
BBVI005CO;CO;HOLD IT RIGHT THERE, SON!;
BBVI006CO;CO;Now just what in the sam hill do you thing you're doing in there?;
BBVI007RA;RA;I was just looking for a way out.;
BBVI008CO;CO;Oh…;
BBVI009CO;CO;You found it!;
BBVI010RA;RA;Yeeeh!;
BBVI011CO;CO;Sorry about that.;
BBVI012CO;CO;Didn't think you'd get to the end so fast.;
BBVI013CO;CO;Dang! I didn't think you'd get to the end at all!;
BBVI014CO;CO;But I'm always glad to see a soldier come back from the field alive.;
BBVI015CO;CO;You surprised me out there, kid.;
BBVI016CO;CO;Here. You've earned this.;
BBVI017CO;CO;Your first PSYCHONAUT MERIT BADGE!;
BBVI018CO;CO;Now if you'll excuse me, I gotta go back in.;
BBVI019CO;CO;I left some good men back there!;
BBBI030CO;CO;Your Mental Health depends on your hustle.;
BBBI031CO;CO;If you get hurt in this plane, you will lose mental health, and not be able to maintain your projection onto the field of battle.;
BBBI032CO;CO;YOU WILL BE SENT BACK TO THE REAL WORLD DO YOU UNDERSTAND?;
BBBI033RA;RA;Yes sir!;
BBBI034CO;CO;THEN LET'S HIT THIS BEACH!;
BBBI035CO;CO;LET'S TAKE THAT HILL!;
BBBI036CO;CO;Let's GO GO GO!!!;
BBBI037RA;RA;This... rocks.;
BBBI038CO;CO;Onward and upward, soldier!;
BBBI039CO;CO;Go go go!;
BBBI040CO;CO;It's game day, kid!;
BBBI041CO;CO;Move! Move! Move!;
BBBI042CO;CO;Dang, my BOWELS move more than you do, pokey!;
BBBI043CO;CO;You're like molasses goin' uphill in January--with crutches.;
BBBI044CO;CO;LESS WAITING, MORE MOTIVATING!;
