id;character;origin_dialogue;translated_dialogue
BVCH001LA;LA;Matador! Matador! That's the team I'm rooting for!;
BVCH002LA;LA;Yeeeeaaaaahhhh Dingo!;
BVCH003LA;LA;Woo-hoo!;
BVCH004LA;LA;Woo-hoo! C'mon!;
BVCH005LA;LA;Wooo! Hahaha!;
BVCH006LA;LA;Let's go Dingo let's go!;
BVCH008LA;LA;East and west!;
BVCH009LA;LA;He's the best!;
BVCH010LA;LA;Diiiiiiiii-ingo!;
BVCH011LA;LA;Woooo!;
BVCH012LA;LA;Be aggressive! Be-e aggressive!;
BVCH013LA;LA;B-e-a-g-g;
BVCH014LA;LA;r-e-s-s-i-v-e!;
BVCH015LA;LA;Beeeee aggressive! Woo-hoo!;
BVCH016LA;LA;Odio! Odio!;
BVCH017LA;LA;Don't be such a dodio!;
BVCH019LA;LA;Go back to the rodeo!;
BVCH020LA;LA;Yeah! Wooo!;
BVCH021LA;LA;Dingo! Dingo! Don't be shy!;
BVCH022LA;LA;Stab that bull and make him cry!;
BVCH023LA;LA;Put that blade right through his skull.;
BVCH024LA;LA;Murderize that stupid bull!;
BVCH025LA;LA;Yeah, Seniors! Go Seniors! Wooo!;
BVDO001ED;ED;Snnnrl! Ooh-ooh-ug.;
BVDO002RA;RA;Thought so.;
BVDO003ED;ED;Where am I?;
BVDO004MA;MA;Thank you for preparing the bull, my humble picador. I shall now finish this beast off easily.;
BVDO005RA;RA;Edgar, listen. There is no El Odio, no Lampita, no Dingo.;
BVDO006RA;RA;They are all just creations of your rage.;
BVDO007RA;RA;You have to let them go or they will torture you forever.;
BVDO008ED;ED;Wha--;
BVDO009RA;RA;That is your romanticized memory of your ex-girlfriend Lana Panzoni, who dumped you for Dean LaGrante way back in high school!;
BVDO010RA;RA;They were both cheerleaders for crying out loud!;
BVDO011RA;RA;You can't let the junior varsity pep squad ruin your life!;
BVDO012DI;DI;Um, what's up with the "Junior?";
BVDO013LA;LA;Yeah, we were full-on varsity.;
BVDO014DI;DI;Gimme a G!;
BVDO015LA;LA;G!;
BVDO016DI;DI;Gimme an O!;
BVDO017LA;LA;O!;
BVDO018DI;DI;Gimme a B!;
BVDO019LA;LA;B!;
BVDO020DI;DI;Gimme a U!;
BVDO021LA;LA;U!;
BVDO022DI;DI;Gimme an L!;
BVDO023LA;LA;L!;
BVDO024DI;DI;Gimme another L!;
BVDO026DI;DI;Gimme an S!;
BVDO027LA;LA;S!;
BVDO028DI;DI;What's that spell?;
BVDO029LA;LA;Goooooooooo BULLS! Yeah! Wooo!;
BVDO031RA;RA;Edgar, listen. It's your rage that imprisons you, not them.;
BVDO032ED;ED;They stole my happiness, my life, the state semi finals, everything!;
BVDO033ED;ED;Ahhhhhh!;
BVDO034RA;RA;No, wait! Edgar!;
BVDO035LA;LA;Olé!;
BVDO036DI;DI;Ha ha ha! He never learns!;
