id;character;origin_dialogue;translated_dialogue
CABD001RA;RA;Dogen! Are you okay? I had the strangest machine-induced dream about you!;โดแกน! นายไม่เป็นไรนะ? ฉันฝันแปลก ๆ เกี่ยวกับนายแล้วก็เครื่องจักร 
CABD002DO;DO;TV?; ทีวี?
CABD003RA;RA;Well, first of all, Sasha Nein invited me down to his SECRET LAB and--;ก็ ตอนแรก ซาช่า ไน เชิญฉันไปที่  "ห้องทดลองลับ" ของเขาและ--
CABD005RA;RA;He's completely brainless!;เขาสมองกลวงไปแล้ว!
CABD006RA;RA;The dream was true!;ความฝันเป็นจริง!
CABD007RA;RA;Dogen, don't worry. I know where your brains are. They're in... like, this crazy, dream-thorn-bush-straight-jacket-tower place.;โดแกน ไม่ต้องห่วง ฉันรู้ว่าสมองนายอยู่ที่ไหน มันอยู่ที่...ที่เหมือนหอคอย-มีหนาม-ปกคลุม-ในฝัน โครตจะบ้า
CABD008DO;DO;Hackey sack?;ก้อนไหมพรม?
CABD009RA;RA;You go to the TV lounge. I'm on the case. I just need a little more advanced training to prepare�;นายไปห้องทีวีก่อนนะ ฉันจัดการเอง ฉันแค่ต้องฝึกขั้นสูงเพิ่มเติมอีกนิดหน่อยเพื่อเตรียมตัว
CAJI015FO;FO;You'd better hurry on up there. Morry's already started in on those kids. Can't you hear 'em screaming?;
CAJI016FO;FO;Nothing like the sound of kids screamin' bloody murder on a hot summer day, eh?;
CALD001RA;RA;Lili!;ลิลี่!
CALD002LI;LI;Oh, hey Raz.;โอ้ เฮ้ แรซ
CALD003LI;LI;Listen, I made you something. It's kind of stupid, but--;ฟังนะ ฉันเจอบางอย่าง อาจฟังดูโง่ แต่--
CALD004RA;RA;They stole Dogen's brains!;พวกนั้นขโมยสมองโดแกนไป!
CALD005LI;LI;No, he's just like that.;ไม่อ่ะ หมอนั่นก็เป็นแบบนั้นอยู่แล้ว
CALD006RA;RA;I had a nightmare where this mad scientist guy said he was going to take them out and--;ฉันฝันร้าย เห็นนักวิทยาศาสตร์บ้าบอกว่ากำลังจะเอาสมองไปและ--
CALD007LI;LI;Was it a creepy-looking freak with a shower cap and a stainless steel, three pronged claw?;เขาเหมือนตัวปลาดน่าขนลุกสวมหมวกอาบน้ำและมีมือกรงเล็บสแตนเลสสามแฉกหรือเปล่า?
CALD008RA;RA;Hey! That's MY nightmare!;เฮ้ นั่นฝันร้ายของ "ฉัน" นี่
CALD009LI;LI;So it's not just me�;แปลว่าไม่ได้มีแค่ฉัน
CALD010RA;RA;But how? And why all the meat?;แต่ ได้ไง? และทำไมถึงมีแต่เนื้อ?
CALD011LI;LI;I don't know, but I think it's time I find out where this is coming from.;ฉันไม่รู้ แต่ฉันคิดว่ามันถึงเวลาที่ฉันต้องไปหาสาเหตุแล้ว
CALD012RA;RA;Once I get trained in Levitation I'll be able to see the rest of the nightmare and get more information.; หากฉันฝึกการลอยตัวเสร็จเมื่อไร ฉันจะกลับไปดูฝันร้ายที่เหลือเผื่อจะได้ข้อมูลอะไรมากขึ้น
CALD013LI;LI;Let's rendezvous tonight at the old boathouse for debriefing.;พบกันคืนนี้ที่โรงเรือเก่าเพื่อแลกเปลี่ยนข้อมูลกัน
CALD014RA;RA;This is so cool.;นี่มันโคตรเจ๋ง 
CALD015LI;LI;Yeah, it feels like that time in "True Psychic Tales" 314 where--;ใช่ เหมือนกับใน “True Psychic Tales” ตอน 314 ที่--
CALD016RA;RA;What did you just say?;เธอว่าไงนะ?
CALD017LI;LI;Shut up!;หุบปากไปเลย!
CALK001RA;RA;Bobby! Uh-oh. Look, I can explain--;บ๊อบบี้! เอ่อ ฟังนะ ฉันอธิบายได้--
CALK003BZ;BZ;TV??;ทีวี??
CALK004BZ;BZ;TV!;ทีวี!
CALK005LI;LI;Ahh-choo!;ฮัดชิ่ว!
CALK006RA;RA;Geez, it sounds like you caught a bad cold.;ตายละ ดูเหมือนเธอจะเป็นหวัดนะ
CALK007LI;LI;Maybe, but LISTEN! I traced the psychic interference back to Coach Oleander's radio!;อาจจะ แต่ “ฟังนะ”  ฉันแกะรอยคลื่นรบกวนพลังจิตกลับไปที่วิทยุของโค้ชโอลีแอนเดอร์
CALK008LI;LI;He's been broadcasting his insane plot all over camp in his sleep!;เขากระจายเสียงแผนการบ้า ๆ ไปทั่วแคมป์ตอนที่เขาหลับอยู่
CALK009RA;RA;So he's really kidnapping children and stealing their brains to make weapons!;แล้วก็เป็นเขาจริง ๆ ที่ลักพาตัวเด็ก ๆ และขโมยสมองพวกนั่นไปสร้างอาวุธ
CALK010LI;LI;Yes! Isn't that great?;ใช่ เยี่ยมไปเลยใช่ไหม?
CALK011RA;RA;What? How is that great?;อะไรนะ? เยี่ยมตรงไหน?
CALK012LI;LI;Because this is an honest-to-goodness psychic emergency!;เพราะว่านี้คือเหตุฉุกเฉินด้านพลังจิต"ของจริง" เลยไงล่ะ!
CALK013RA;RA;And Sasha's not here! He left on some "official Psychonauts business.";และซาช่าก็ไม่อยู่ เขาออกไปทำ “ธุระทางการของไซโคนอท” อะไรสักอย่าง
CALK014LI;LI;Milla left a note saying the same thing!;มิลล่าก็ทิ้งโน๊ตที่บอกแบบนั้นเหมือนกัน
CALK015RA;RA;Lili, a deranged madman is building an army of psychic death tanks to take over the world, and there's no one who can stop him except for you and me!;ลิลี่ มีคนบ้าวิกลจริตกำลังจะสร้างกองทัพรถถังพลังจิตมรณะเพื่อยึดครองโลก และไม่มีใครจะหยุดเขาได้นอกจากเธอกับฉัน
CALK016LI;LI;Oh my god!;โอ้พระเจ้า!
CALK017LI;LI;Let's make out!;Make out กันเถอะ!
CALK018RA;RA;Uh, what??;เอ่อ ไงนะ??
CALK019LI;LI;Sorry! I'm just so excited!;โทษที ฉันแค่ตื่นเต้นมากไปหน่อยน่ะ!
CALK020LI;LI;Since you showed up, Raz, things are so much more exciting!;ตั้งแต่นายปรากฎตัว แรซ ก็มีเรื่องน่าตื่นเต้นเกิดขึ้นมากมาย!
CALK021LI;LI;Sinister death plots! Mad scientists!;แผนการชั่วร้าย! นักวิทยาศาสตร์คลั่ง!
CALK022LI;LI;Hideous monsters!;สัตว์ประหลาดน่าเกลียดน่ากลัว!
CALK023RA;RA;Make out?;Make out เหรอ?
CALK024LI;LI;How long have I ignored what this camp had to offer? Everything's new to me now thanks to you! I mean, look at this flower!;นานแค่ไหนแล้วที่ฉันไม่ได้สนใจสิ่งที่ค่ายนี้มี ตอนนี้ทุกอย่างมันแปลกใหม่ขึ้นมากสำหรับฉัน ต้องขอบคุณนาย ฉันหมายถึง ดูดอกไม้นี่สิ
CALK025RA;RA;You mean, like... kiss?;เธอหมายถึง...จูบเหรอ?
CALK026LI;LI;How many years have I been coming here and I've never even noticed a cool flower like this before?;กี่ปีมาแล้ว ที่ฉันมาค่ายนี้แต่ก็ไม่เคยสังเกตุเห็นแม้แต่ดอกไม้แสนสวยนี่มาก่อน?
CALK027RA;RA;Ahhhh--ooof!;Ahhhh--ooof!
CALK028LI;LI;Oh, no! You didn't just hit my boyfriend!;โอ้ ไม่! แกไม่มีสิทธิ์มาแตะต้องแฟนฉันนะ
CALK029RA;RA;Spit her out! I'm gonna Heimlich you so bad!;คายเธอออกมาซะ! ไม่งั้นแกอ้วกแตกแน่!
CALK030RA;RA;Lili!!!;ลิลี่!!!
CALP001RA;RA;Hey, Lili.;เฮ้ ลิลี่
CALP002LI;LI;Going for the advanced training? What's the rush?;
CALP003RA;RA;Are you kidding? I only have a few days to become a Psychonaut or I lose my shot forever!;
CALP004LI;LI;Look, Raz, I hate to burst your bubble, but the Psychonauts are not what they used to be.;
CALP005LI;LI;Times have changed. The world just doesn't need us anymore.;
CALP006RA;RA;The world does too need Psychonauts!;
CALP007RA;RA;Right here at this very camp, in fact. I think there are several fishy things that need psychic investigating.;
CALP008LI;LI;You are so immature!;
CALP009LI;LI;And cute! When are you gonna just shut up and kiss me?;
CALP010RA;RA;Shut up and do what?;
CALP011LI;LI;Oh. I didn't know you could--uh, I gotta go. Bye.;
CALP012LI;LI;So embarrassing!;
CALU002RA;RA;Gah!;
CALU003RA;RA;Hey, was that you? Looking at me?;
CALU004LI;LI;Maybe you should try getting over yourself? There were a lot of other people on that stage besides you.;
CALU005RA;RA;No, just now. In the woods.;
CALU006RA;RA;(sniff sniff);
CALU007RA;RA;No, it must have been something else.;
CALU008RA;RA;You don't smell like pond scum.;
CALU009LI;LI;Nice. You should write greeting cards.;
CALU010LI;LI;Hey, if you want to cut class later, try these smelling salts.;
CALU011LI;LI;They'll pop you out of anyone's mind and back to the real world before you can say, Crud! That hurts my nose!;
CALU012RA;RA;Out of anyone's mind?;
CALU013LI;LI;You'll find out.;
CALU014LI;LI;Now, mush! We don't want you to be late for class!;
CALU015RA;RA;Why do you care if I'm late for class?;
CALU016LI;LI;Because the late thing is MY thing. Don't copy.;
CALU017RA;RA;There was some sort of shadowy being out there... lurking... watching...;
CALU018LI;LI;I know of only one creature who fits that description. It likes to hide in dark places, silently watching unsuspecting children from a distance.;
CALU019RA;RA;Really? Who?;
CALU020LI;LI;You, tree sitter!  Hahahaha!;
CASR001BN;BN;Way to make us look bad in there! You're in trouble now! Bobby Zilch ain't happy.;
CASR002BZ;BZ;You better watch yourself, Gogglicious.;
CASR003RA;RA;What's that, Hair Boy? You want a piece of me?;
CASR004LI;LI;Hey, brainiacs. Settle down.;
CASR005BZ;BZ;Why? You worried I'm gonna hurt your boyfriend?;
CASR006LI;LI;No. Because Sasha Nein is standing right behind you.;
CASR007SA;SA;Your performance, young cadet, was outstanding. I'd like you to report to my lab for some advanced training.;
CASR008BZ;BZ;Oooh! Raz the Spaz is gonna be in the "special" class. Benny, remind me to give him a "special" beating later, okay?;
CASR009SA;SA;These tests are unauthorized, though, so I can't actually ask you to come. But if you happened to drop in, well, what could I do? Let me just give you this...;
CASR010SA;SA;Remember:;
CASR011SA;SA;Your talent will always set you apart, Razputin.;
CASR012SA;SA;Sometimes isolation is a good thing. It can lead to important discoveries.;
CASR013RA;RA;Wait, I don't even know where your lab is! Is this some kind of test?;
CASR015RA;RA;And now I'm hearing things. Great.;
INBB001RA;RA;Coach! Out in the woods! I saw--;
INBB002CO;CO;You're late, Soldier!;
INBB003CO;CO;Get in here and give me twenty!;
INBB004RA;RA;Sir! We need to get a containment team in the area STAT!;
INBB005RA;RA;I've spotted a U.P.E.;
INBB006CO;CO;A U.P.E.?;
INBB007RA;RA;Yes, an Unregistered Paranormal Entity, possibly aquatic in nature...;
INBB008CO;CO;I know what a U.P.E. is, son. I just don't know how YOU know.;
INBB009RA;RA;From "True Psychic Tales" Issue 424, sir!;
INBB010RA;RA;Where Sasha Nein fought that clairvoyant grizzly bear?;
INBB011CO;CO;Pah! Comic books!;
INBB012RA;RA;This thing was real, and huge, and--and it smelled all smelly!;
INBB013CO;CO;Save your fish stories for the boathouse, boy.;
INTR001CO;CO;The human mind.;
