id;character;origin_dialogue;translated_dialogue
GLRA041RA;RA;Ow!;
GLRA042RA;RA;Hey!;
GLRA043RA;RA;Watch it!;
GLRA045RA;RA;Ah!;
GLRA046RA;RA;Man!;
GLRA048RA;RA;Ooh ooh ohhhhh...;
GLRA049RA;RA;Hrrr!;
GLRA052RA;RA;HRRRRRR!;
GLRA053RA;RA;Hmmmpf!;
GLRA054RA;RA;Hp.;
GLRA055RA;RA;Hup.;
GLRA056RA;RA;Hayup.;
GLRA057RA;RA;Ho.;
GLRA058RA;RA;Ha!;
GLRA059RA;RA;Hmmmm.;
GLRA060RA;RA;Hm-mmm.;
GLRA061RA;RA;Hmm?;
GLRA062RA;RA;Ah-ha!;
GLRA063RA;RA;Heh heh heh!;
GLRA064RA;RA;Ha ha ha!;
GLRA065RA;RA;Huh?;
GLRA066RA;RA;What the--;
GLRA067RA;RA;Wooooo-hooooo!;
GLRA068RA;RA;That's strange.;
GLRA069RA;RA;That looks a little dangerous.;
GLRA070RA;RA;I don't like the looks of that.;
GLRA071RA;RA;Uh-oh.;
GLRA072RA;RA;Dang.;
GLRA073RA;RA;That's nasty.;
GLRA074RA;RA;Gross.;
GLRA075RA;RA;Cool!;
GLRA076RA;RA;What ARE those things?;
GLRA077RA;RA;I don't think that's going to work.;
GLRA078RA;RA;Check it out! I'm invisible!;
GLRA080RA;RA;Aaaaaaaaaaaaaaah!;
GLRA079RA;RA;Burn! Buuuuuurn!;
GLRA081RA;RA;Uh-uh.;
ASLV001LI;LI;Rrrr.;
ASLV002RA;RA;Lili!;
ASLV003LI;LI;Grrrr!;
ASLV004LI;LI;(Gasp!);
ASLV005LO;LO;Well, I've reviewed your chart, little girl.;
ASLV006LO;LO;And the bad news is, we're gonna have to remove your brain…;
ASLV007LO;LO;...strap it into an armored battle tank and make it shoot down innocent civilians with its concentrated psychic death beam!;
ASLV008LI;LI;I'm gonna kill you so much.;
ASLV009LO;LO;The good news is that your insurance is going to cover the whole thing, so--;
ASLV010LO;LO;Heyyy, is it getting warm in here?;
ASLV011LI;LI;No, I'm just trying to set you on fire through this stupid hat!;
ASLV012LO;LO;What a delightfully mean little brain you have. Just what we want!;
ASLV013LO;LO;Here, do me a favor. Tell me if you think this smells like... your DOOM! Heh heh.;
ASLV014LI;LI;(Snotty breathing.);
ASLV015LI;LI;(Sniff sniff.) I can't smell anything.;
ASLV016LO;LO;Curses!;
ASLV017LI;LI;Heh heh.;
ASLV018LO;LO;You're a stubborn little ball of phlegm, ain't ya?;
ASLV019LO;LO;Well, that head cold won't protect you forever, little girl, and when it's gone you'll be sneezing a different tune!;
ASLV020LO;LO;A tune in the key of... BRAINS! Ha ha ha!;
BBVI005CO;CO;HOLD IT RIGHT THERE, SON!;
BBVI006CO;CO;Now just what in the sam hill do you thing you're doing in there?;
BBVI007RA;RA;I was just looking for a way out.;
BBVI008CO;CO;Oh…;
BBVI011CO;CO;Sorry about that.;
BBVI012CO;CO;Didn't think you'd get to the end so fast.;
BBVI013CO;CO;Dang! I didn't think you'd get to the end at all!;
BBVI014CO;CO;But I'm always glad to see a soldier come back from the field alive.;
BBVI015CO;CO;You surprised me out there, kid.;
BBVI016CO;CO;Here. You've earned this.;
BBVI017CO;CO;Your first PSYCHONAUT MERIT BADGE!;
BBVI018CO;CO;Now if you'll excuse me, I gotta go back in.;
BBVI019CO;CO;I left some good men back there!;
LLLV001LF;LF;Human child.;
LLLV002RA;RA;Wha--who is that?;
LLLV003LF;LF;It is I, the creature whose spirit was once--;
LLLV004LF;LF;Um, over here. Behind you? Yes.;
