id;character;origin_dialogue;translated_dialogue
GLZA053TO;TO;/AButton/ Yes.;
GLZA054TO;TO;/AButton/ No.;
GLZD286TO;TO;Use /MovementControls/ and then press /BlackButton/,  /WhiteButton/, or /RightFlipper/ to map the selected power to that button.;
GLZD287TO;TO;To pull out an item from your backpack, point to it with /MovementControls/ and then press /AButton/. To return it to your backpack later, press /BButton/.;
GLZD351TO;TO;Please reconnect the controller to controller port;
GLZD321TO;TO;Drag /FullMouse/ or use Right /Joystick/ TO NAVIGATE.;
GLZD335TO;TO;/AButton/ LOAD;
GLZD336TO;TO;/XButton/ DELETE;
GLZD338TO;TO;/AButton/ SAVE;
GLZD347TO;TO;You don't have enough free space to save this profile.
Press /Abutton/ to continue without saving or /Bbutton/ to free more space.;
GLZD348TO;TO;You don't have enough free space to save games.
Press /Abutton/ to continue without saving or /Bbutton/ to free more space.;
GLZD356TO;TO;/MovementControls/ to SCROLL.;
GLZD358TO;TO;/BButton/ BACK;
GLZD434TO;TO;Saving preferences.;
GLZD435TO;TO;Saving AUTOSAVE: POINT OF NO RETURN.;
GLZD507TO;TO;Saving game.;
GLZD560TO;TO;Please free;
GLZD561TO;TO;more space.;
GLZD573TO;TO;Why aren't you pressing /AButton/ ???;
GLZD587TO;TO;Saving autosave.;
GLZE005TO;TO;Use /MovementControls/ to aim your toss.;
GLZG041TO;TO;/BButton/ Exit;
GLZE015TO;TO;Control speed with /MovementControls/ or use it to change rails when jumping.;
GLZG018TO;TO;Use /MovementControls/ or /FullMouse/ to navigate the Journal.;
GLZJ000TO;TO;Press /AButton/ to begin.;
GLZD288TO;TO;You have too many items to fit on one page! Use /DPadRight/ to see the rest of your items.;
GLZD551TO;TO;/AButton/ Select;
GLZG036TO;TO;Raz has stowed the item in his backpack. To see what's in Raz's backpack, and what merit badges he has, press the /DPadLeft/ button.;
GLPC000TO;TO;Move Forward;
GLPC001TO;TO;Move Backward;
GLPC002TO;TO;Move Left;
GLPC003TO;TO;Move Right;
GLPC004TO;TO;Jump;
GLPC005TO;TO;Attack;
GLPC006TO;TO;Use;
GLPC007TO;TO;Cancel;
GLPC008TO;TO;LockOn/Float;
GLPC009TO;TO;PSI Power1;
GLPC010TO;TO;PSI Power2;
GLPC011TO;TO;PSI Power3;
GLPC012TO;TO;Inventory Menu;
GLPC013TO;TO;PSI Powers Menu;
GLPC014TO;TO;First Person View;
GLPC015TO;TO;Journal;
GLPC016TO;TO;Stats;
GLPC017TO;TO;Look Up;
GLPC018TO;TO;Look Down;
GLPC019TO;TO;Look Left;
GLPC020TO;TO;Look Right;
GLPC021TO;TO;Type your nickname. Only letters and numbers allowed.;
GLPC022TO;TO;Press /Enter/ when done.;
GLPC023TO;TO;Press /Escape/ to cancel.;
GLZE018TO;TO;This save game appears to be damaged and cannot be used. Press /AButton/ to continue.;
GLZE020TO;TO;This profile appears to be damaged and cannot be used. Press /AButton/ to continue.;
GLZD556TO;TO;/AButton/ Zoom in;
GLZD557TO;TO;/AButton/ Zoom out;
GLPC024TO;TO;Show To-Do list on screen?;
GLPC025TO;TO;While you were away, your game was automatically paused.;
GLPC026TO;TO;Ok;
GLPC028TO;TO;Defaults;
GLPC029TO;TO;Back;
GLPC030TO;TO;OPTIONS;
GLPC031TO;TO;MAIN MENU;
GLPC032TO;TO;EXIT GAME;
GLPC033TO;TO;Controls;
GLPC034TO;TO;CONTROLS;
GLPC035TO;TO;Bindings;
GLPC036TO;TO;Action Bindings;
GLPC037TO;TO;Advanced;
GLPC038TO;TO;Sensitivity;
GLPC039TO;TO;Deadzone;
GLPC040TO;TO;Camera;
GLPC041TO;TO;Camera Settings;
GLPC042TO;TO;Invert Camera Horiz.;
GLPC043TO;TO;Invert Camera Vert.;
GLPC044TO;TO;Invert 1st Person;
GLPC045TO;TO;Show Goal Popups;
GLPC046TO;TO;Graphics;
GLPC047TO;TO;Graphics Options;
GLPC048TO;TO;Full Screen;
GLPC049TO;TO;V.Sync;
GLPC050TO;TO;FSAA;
GLPC051TO;TO;FSFX;
GLPC052TO;TO;Adv. Shading;
GLPC053TO;TO;Shadows;
GLPC054TO;TO;Brightness;
GLPC055TO;TO;Sound;
GLPC056TO;TO;Sound Settings;
GLPC057TO;TO;Master Volume;
GLPC058TO;TO;FX Volume;
GLPC059TO;TO;Music Volume;
GLPC060TO;TO;Voice Volume;
GLPC061TO;TO;Subtitles;
GLPC062TO;TO;Hardware Accel.;
GLPC063TO;TO;Advanced Settings;
GLPC064TO;TO;Quit To Title;
GLPC065TO;TO;Are you sure you want to quit your game and go back to the title screen? If you haven't saved, your progress will be lost!;
GLPC066TO;TO;Exit To Desktop;
GLPC067TO;TO;Are you sure you want to stop playing Psychonauts?;
CAZF006TO;TO;This DOWSING ROD can be used to find deeper, more valuable PSITANIUM ARROWHEADS. Equip the DOWSING ROD and watch and listen to its changing color and sound. This is how it lets you know that you are getting closer to a DEEP ARROWHEAD.;
GLPC068TO;TO;Lead PC Programmer;
GLPC069TO;TO;Changes to hardware acceleration will not take effect until you restart the game.;
GLPC070TO;TO;/AButton/ Play again;
GLPC071TO;TO;Smart Camera;
GLPC072TO;TO;Altitude Dampening;
GLPC074TO;TO;Pitch;
GLPC075TO;TO;Yaw;
GLPC076TO;TO;Horizontal;
GLPC077TO;TO;Vertical;
GLPC078TO;TO;Horizontal Sensitivity;
GLPC079TO;TO;Vertical Sensitivity;
GLPC080TO;TO;Left /Joystick/;
GLPC081TO;TO;Right /Joystick/;
GLPC082TO;TO;/FirstKey/ or /SecondKey/;
