id;character;origin_dialogue;translated_dialogue
LOIN001LP;LP;Ah, top of the mornin' to ya, ma'am.;
LOIN002LY;LY;And good day to you, Officer O'Lungfish. How are you today?;
LOIN003LP;LP;Oh, damp and happy. Can't complain! And what are you and the wee one up to on this lovely day?;
LOIN004LY;LY;Oh, just obeying the law as always. All posted directives followed to the letter.;
LOIN005LP;LP;Ah, good to hear! Not a one of us want any trouble that's for sure!;
LOIN006LY;LY;Aaaaahhhhh!!!!;
LOIN007LP;LP;Aaaaaahhhh!!!!;
LOIN008LR;LR;Oh, Goggalor!!!!;
LOVE001CO;CO;Agggghhh!;
LOVE002CO;CO;Fine! Take control of this freaky toad! I don't need him to nab children for me anymore!;
LOVE003CO;CO;I've got the brain of a little girl back in my lab that's strong enough to power a whole army of Psychoblaster Death Tanks!;
LOVE004RA;RA;Why you--heh heh!;
LOVE005CO;CO;Wha--;
LOVE006RA;RA;Ha ha ha!;
LOVE007CO;CO;What?;
LOVE008RA;RA;You've got the brain of a little girl! Ha ha ha!;
LOVE009CO;CO;I said in my lab!;
LOVE010RA;RA;I think you've got the muscles of a little girl, too.;
LOVE012CO;CO;Ahhhh! Grrrrr!;
LOVE013CO;CO;Good one!;
LOAB005Z1;Z1;Freedom!;
LOAB014Z1;Z1;WOOOOO!;
LOAB015Z1;Z1;FREEDO--;
LOAB109Z1;Z1;FREEDOM!;
LOCP001LC;LC;Ahhhhhhhhh!;
LOCP002LC;LC;Kochamara, save us!;
LOCP003LC;LC;Where is Kochamara?;
LOCP004LC;LC;Ah, my house!;
LOCP005LC;LC;That's my school! ... Hooray!;
LOCP006LC;LC;Heeeeelllllllp!;
LOCP007LC;LC;It's Goggalor! Run!;
LOCP008LC;LC;Please don't kill me, Goggalor!;
LOCP009LC;LC;It's Goggalor! He hates children!;
LOCP010LC;LC;Hey everyone, here comes Kochamara! No, wait, it's Goggalor. RUN!;
LOCP011LC;LC;Bullets don't hurt him!;
LOCP012LC;LC;Why, Goggalor, why?;
LOCP013LC;LC;Nothing can stop him!;
LOCP014LC;LC;Where are the police?;
LOCP015LC;LC;Go back to your watery hell, Goggalor!;
LOCP017LC;LC;I hate you, Goggalor!;
LOCP018LC;LC;Nooooooooooo! Not the natural history museum!;
LOCP019LC;LC;Oh no, Goggalor's heading for the orphanage!;
LOCP020LC;LC;It's okay everyone. Goggalor missed the orphanage!;
LOCP021LC;LC;No wait he's still heading for the orphanage!;
LOCP022LC;LC;Oh my god, the orphanage!;
LOCP023LC;LC;Hold on--that wasn't the orphanage.;
LOCP024LC;LC;Oh no, it was the orphanage--for dogs. It was the puppy orphanage everyone!;
LOCP025LC;LC;No wait--I spoke too fast.;
LOCP026LC;LC;It was just a mattress factory.;
LOCP027LC;LC;Okay, that's not too bad.;
LOCP028LC;LC;Ahhhhh, my mattress factory! I'm ruined!;
LOCP029LC;LC;I love you Goggalor!;
LOCP030LC;LC;Good lord, he's impervious to bullets and love!;
LOCP031LC;LC;Why doesn't the Navy electrocute him?;
LOCP032LC;LC;I don't want to complain, but Kochamara should do something.;
LOCP033LC;LC;Holy smokes, those goggles are five thousand meters tall!;
LOCP034LC;LC;Oh no. Ohhhhh no. Noooooooo!;
LOCP035LC;LC;You're lucky we can't own guns, Goggalor!;
LOCP036LC;LC;We've faced monsters like you before, Goggalor, only much smaller.;
LOCP037LC;LC;My car!;
LOCP038LC;LC;My bait shop!;
LOCP039LC;LC;My tank!;
LOCP040LC;LC;My cheese shop!;
LOCP041LC;LC;My outlet store!;
LOCP042LC;LC;Gahhhhhhhhh!;
LOZI001Z1;Z1;Hey! Goggalor! Down here!;
LOZI002RA;RA;Excuse me, were you talking to me?;
LOZI003Z1;Z1;Ahhhhhh! Owwwww! My ears!;
LOZI004RA;RA;I'm sorry.;
LOZI005Z1;Z1;Ahhhhhh! Oh my god! Ahhhhhhhh!;
LOZI006RA;RA;Are you okay?;
LOZI007Z2;Z2;He's dead!;
LOZI008RA;RA;Oh jeez, I'm sorry.;
LOZI009Z2;Z2;Don't worry, every member of the resistance is prepared to die fighting the tyranny of Kochamara.;
LOZI010RA;RA;What's Kochamara?;
LOZI011Z2;Z2;He's a giant monster like you, Goggalor. He brainwashed and enslaved almost everyone in Lungfishopolis.;
LOZI012RA;RA;That stinks. So hey, have you seen any other humans around here? I'm looking for a girl called Lili.;
LOZI015Z2;Z2;The government archives might have some information about your young girlfriend, Goggalor.;
LOZI016RA;RA;I don't know if she's really my girlfriend. I mean, I think she--;
