id;character;origin_dialogue;translated_dialogue
CAQZ037CH;CH;Ooof!;
CAQZ038CH;CH;Ak!;
CAQZ039CH;CH;Ug!;
CAQZ040CH;CH;Ay!;
CAQZ041CH;CH;Ow!;
MIDD001DN;DN;Wooo!;
MIDD002DN;DN;Hoo hoo!;
MIDD003DN;DN;Yeah, baby!;
MIDD004DN;DN;What's up?;
MIDD005DN;DN;Come on! Dance, baby!;
MIDD006DN;DN;Alright...;
MIDD008DN;DN;Hey!;
MIDD010DN;DN;Jerk!;
MIDD011DN;DN;Total buzzkill.;
MIDD012DN;DN;Man, the bouncers here suck.;
MIDD013DN;DN;Hey, this ain't the mosh pit, frat boy!;
MIDD014DN;DN;Oh no you DIDN'T just try to touch me while I'm dancing.;
MIDD015DN;DN;I know you didn't just do that.;
MIDD016DN;DN;My advice to you is back up about ten feet, right now.;
MIDD017DN;DN;I am not responsible for what's about to happen otherwise.;
MIDD018DN;DN;Hey, what are you doing? I was in the middle of something serious there.;
MIDD019DN;DN;Hey, if I want to fly, I'll fly.;
MIDD020DN;DN;I don't need any help.;
MIDD021DN;DN;Hey, thanks. I did NOT want to dance with that... whatever that was.;
MIDD022DN;DN;Ahhh! What was that?;
MIDD023DN;DN;Huh?;
MIDD024DN;DN;Aaaiiiiieeeeee!;
MIDD026DN;DN;Ah! Wha--;
MIDD027DN;DN;Wahhhh!;
MINO002MI;MI;Let's go!;
MINO003MI;MI;Bounce baby!;
MINO004MI;MI;Up! Up! Up!;
MINO005MI;MI;Come on, darling!;
MINO006MI;MI;I think this party is going pretty well.;
MINO007MI;MI;I wonder if everybody's having fun.;
MINO008MI;MI;Oh I love this part!;
MINO009MI;MI;Turn it up!;
MINO010MI;MI;Yeah!;
MINO011MI;MI;Woo-hoo!;
MINO012MI;MI;Mmmm-hmmm.;
MINO013MI;MI;Chh-ch-ch-ch ch ch ch...;
MINO015MI;MI;Smile everyone!;
MINO016MI;MI;I hope the kids are having a good time.;
MINO017MI;MI;Mmm... onion dip!;
MINO018MI;MI;It's so nice to be working with children again.;
MINO019MI;MI;Oh how I love the little children.;
MINO020MI;MI;Look at the little angels.;
MINO021MI;MI;So sweet.;
MINO022MI;MI;Nice.;
MINO023MI;MI;Mmmm.;
MINO024MI;MI;Keep it loose, kids.;
MINO025MI;MI;You're doing great!;
MINO026MI;MI;Oh, you're such great dancer, baby!;
MINO027MI;MI;Let's see those happy faces, kids!;
MINO028MI;MI;Ahhh.;
MINO029MI;MI;Sasha...;
MINO030MI;MI;I don't care! I don't care who's looking!;
MINO031MI;MI;Achhh!;
MINO032MI;MI;No frowning on the dance floor!;
MINO033MI;MI;I wonder how long I can keep this up?;
MINO034MI;MI;My feet are killing me.;
MINO035MI;MI;...can't stop dancing...;
MINO036MI;MI;Who's going to adopt these poor children?;
MINO037MI;MI;Hey, what's that smoke over the village?;
MINO038MI;MI;Ohhhhh!;
MINO039MI;MI;Ahh! The orphanage! It's on fire!;
MINO040MI;MI;Oh, no!;
MINO041MI;MI;The children! Some one save the children!;
MINO042MI;MI;Please! Some one help!;
MINO043MI;MI;Oh god no!;
MINO044MI;MI;The babies!;
MINO045MI;MI;I can hear them!;
MINO046MI;MI;Can't you hear them!;
MINO047MI;MI;They're screaming!;
MINO048MI;MI;They're frightened!;
MINO049MI;MI;Don't cry, my darlings!;
MINO050MI;MI;Please stop crying!;
MINO051MI;MI;Pleeeease!;
MINO052MI;MI;(crying);
MITU001MI;MI;Look who made the scene!;
MITU002RA;RA;Agent Vodello? Where are you?;
MITU003MI;MI;On TV of course! Where I was always meant to be!;
MITU004MI;MI;I mean look at my hair, darling. How can hair this fabulous not be on TV?;
MITU005MI;MI;Now show me, baby. What's on your mind?;
MITU006MI;MI;Come on, darling.;
MITU007MI;MI;Don't be afraid.;
MITU008MI;MI;Show me what's going on in that cute little head.;
MITU009MI;MI;I would never tell.;
MITU010MI;MI;Oh, so cute!;
MITU012MI;MI;Well, I'm gonna give you another one to think about.;
MITU013MI;MI;This is just a learner's permit, mind you. It only works when you're at my party.;
MITU014MI;MI;Focus on it, Razputin, and let's get hopping.;
MITU015MI;MI;Now, honey. I said Levitation.;
MITU016MI;MI;No, not that one.;
MITU017MI;MI;No.;
MITU019MI;MI;That one!;
MITU021MI;MI;Try it.;
MITU022MI;MI;Great!;
MITU023MI;MI;Now try to add a little bounce to it!;
MITU024MI;MI;Go on!;
MITU026MI;MI;Bounce for Mamma!;
MITU027MI;MI;There you go!;
MITU028MI;MI;Want to take it higher? Try bouncing when you're already bouncing!;
MITU029MI;MI;I call it the double bubble bounce.;
MITU030MI;MI;Come on. Don't settle for just one bounce, darling.;
MITU031MI;MI;Ooooh! You got it!;
MITU032MI;MI;Okay, now, just between you and me, this end of the party is dead.;
MITU033MI;MI;Come find me on the other side of the party and I'll give you that merit badge for real.;
MITU034MI;MI;Never keep a girl waiting long, young man!;
MITU035MI;MI;(Kiss.);
MITU036MI;MI;You know Levitation gives you a little lift even when you're doing a regular jump.;
MITU037MI;MI;Try it! Jump up and then jump again when in the air!;
MITU038MI;MI;Exactly! Perfect!;
MITU039MI;MI;Well rolled my friend.;
MITU040MI;MI;You know, I predict you are going to be the life of this party.;
MITU041MI;MI;There's a pretty groovy scene in the next room.;
MITU042MI;MI;So, don't be a wall flower. Go mingle!;
MITU043MI;MI;Oh, some of these places can be so exclusive!;
MITU044MI;MI;Anyway, I'm sure once you show them what a rock star you are, doors are gonna open for you baby.;
MITU045MI;MI;You know I love you, darling, but you have to make the camera love you too.;
MITU046MI;MI;In fact, you have to make all the cameras love you.;
MITU047MI;MI;Being a rock star isn't easy!;
MITU048MI;MI;I know you can do it!;
MITU049MI;MI;Razputin dominates the airwaves!;
MITU050MI;MI;I need rock stars like you at my party!;
MITU051MI;MI;Get down here!;
MITU052MI;MI;Wooo hooo! Watch out for those bumpers, darling.;
MITU053MI;MI;Ooooh! Look at you go!;
MITU054MI;MI;You're like a little pinball in there!;
MITU055MI;MI;Now light up all those lights if you're ready to come out.;
MITU056MI;MI;Hey, look at you brightening up the place!;
MITU057MI;MI;Oh, no. Party crashers.;
MITU058MI;MI;Why must someone always try to ruin the party, hm?;
MITU059MI;MI;Just do what I do, darling. Ignore them and they'll go away.;
MITU060MI;MI;Ooh, I see other people find your thoughts uplifting as well.;
MITU061MI;MI;Darling. What are you doing down here?;
