id;character;origin_dialogue;translated_dialogue
ASBR001BO;BO;...the Milkman...;
ASBR002BO;BO;...those little green cops...;
ASBR003BO;BO;...the military-industrial complex...;
ASBR004BO;BO;...the suits...;
ASBR005BO;BO;...the analyticals, man...;
ASBR006BO;BO;...those Bermuda Triangle sharks…;
ASBR007BO;BO;...all them haters...;
ASBR008BO;BO;...Hernando...;
ASBR009BO;BO;...that little fat kid with the bunny...;
ASBR010BO;BO;...the doctors back at the clinic...;
ASBR011BO;BO;...the pelicans...;
ASBR012BO;BO;...the squirrels...;
ASBR013BO;BO;...the manager of that boy band...;
ASBR014BO;BO;...those eggheads in their ivory tower...;
ASBR015BO;BO;...that guy with the eye patch...;
ASBR016BO;BO;...the psychowhatsits...;
ASBR017BO;BO;...the freaky hunchback girl who loves brains so much...;
ASBR018BO;BO;...the dairy industry...;
ASBR019BO;BO;...the kid with the goggles...;
ASBR020BO;BO;...the dog track regulators...;
ASBR021BO;BO;...the tuna canneries...;
ASBR022BO;BO;...the national park system...;
ASBR023BO;BO;...big oil...;
ASBR024BO;BO;...organized labor...;
ASBR025BO;BO;...the rodeo clown cartel...;
ASBR026BO;BO;...the media...;
ASBR027BO;BO;...the cows...;
ASBR028BO;BO;...foreign toy makers...;
ASBR030BO;BO;...the intelligencia...;
ASBR031BO;BO;...the fluoride producers…;
ASBR032BO;BO;...a secret doomsday cult...;
ASBR033BO;BO;...the president's brother...;
ASBR034BO;BO;...my first cat Seymour...;
ASBR035BO;BO;...one of my nostril hairs...;
ASBR036BO;BO;...the intelligence community...;
ASBR037BO;BO;...the five richest families in the country...;
ASBR038BO;BO;...all those stupid crows...;
ASBR039BO;BO;...some sort of power, you know...;
ASBR040BO;BO;...and...;
ASBR041BO;BO;...or else, maybe...;
ASBR042BO;BO;...no, no, wait. I mean...;
ASBR043BO;BO;...in conjunction with...;
ASBR044BO;BO;...with the full blessing of...;
ASBR045BO;BO;...with the backing of...;
ASBR046BO;BO;...who are merely the pawns of...;
ASBR047BO;BO;...who are the puppet masters of...;
ASBR048BO;BO;...went to the prom with...;
ASBR049BO;BO;...ate a whole jar of olives with...;
ASBR050BO;BO;...are working for...;
ASBR051BO;BO;...are telling my location to...;
ASBR052BO;BO;...made a deal back in '68 with...;
ASBR053BO;BO;...sold their soul to...;
ASBR054BO;BO;...are controlled by...;
ASBR055BO;BO;...bought votes to protect...;
ASBR056BO;BO;...are doing the dirty work of...;
ASBR057BO;BO;...got in bed with...;
ASBR058BO;BO;...signed a secret treaty with...;
ASBR059BO;BO;...has been officially linked with...;
ASBR060BO;BO;...know the truth.;
ASBR061BO;BO;...won't stop visiting me.;
ASBR062BO;BO;...keep sparring with me.;
ASBR063BO;BO;...have been spitting on me all day.;
ASBR064BO;BO;...do this horrible thing, but in conjunction with who? Or whom?;
ASBR065BO;BO;...are crawling all over my skin.;
ASBR066BO;BO;...bit me all night so I couldn't sleep.;
ASBR067BO;BO;...have everyone fooled.;
ASBR068BO;BO;...were digging away at the plastics.;
ASBR069BO;BO;...were dialing in through the optics.;
ASBR070BO;BO;...stole my theories and reprinted them incorrectly, to discredit them.;
ASBR071BO;BO;...are not to be trusted.;
ASBR072BO;BO;...have been living off the teat of the dairy industry.;
ASBR073BO;BO;...have been fixing oil prices...;
ASBR074BO;BO;...assassinated the one man in their way...;
ASBR075BO;BO;...pretty much control everything.;
ASBR076BO;BO;...pick who lives and who dies and what the football scores are going to be every week.;
ASBR077BO;BO;...and they obviously...;
ASBR078BO;BO;...and I know they...;
ASBR079BO;BO;...but they can't hide that they...;
ASBR080BO;BO;...ha! Like I don't know that they...;
ASBR081BO;BO;...and, let's just say for now that they...;
ASBR082BO;BO;...and, if I know anything, I know that they...;
ASBR083BO;BO;...and sure as the nose on my face, I am sure they...;
ASBR084BO;BO;...to get ...;
ASBR085BO;BO;...because they want ...;
ASBR086BO;BO;...in order to monopolize...;
ASBR087BO;BO;...to keep down...;
ASBR088BO;BO;...so the people never find out about...;
ASBR089BO;BO;...and who wins? Them. Who loses?;
ASBR090BO;BO;...all in a big fight over...;
ASBR091BO;BO;...the truth.;
ASBR092BO;BO;...all of us.;
ASBR093BO;BO;...the whole sack of lies.;
ASBR094BO;BO;...the innocents.;
ASBR095BO;BO;...the biggest conspiracy of all.;
ASBR096BO;BO;...the infrastructure.;
ASBR097BO;BO;...the lap belt, man.;
ASBR098BO;BO;...the water supply.;
ASBR099BO;BO;...the rotundra.;
ASBR100BO;BO;...the A.M. tenderizer.;
ASBR101BO;BO;...last specimen of the super-virus.;
ASBR102BO;BO;...the witnesses.;
ASBR103BO;BO;...my hooch.;
ASBR104BO;BO;...the hanging udders.;
ASBR105BO;BO;...a clean-burning, perpetual energy source.;
ASBR106BO;BO;...a religious artifact with supposedly unimaginable powers.;
ASBR107BO;BO;...exactly what, nobody knows.;
ASBR108BO;BO;How long do they think they can hide that?;
ASBR109BO;BO;I mean, who do they think they're fooling?;
ASBR110BO;BO;Can I really be the only person who sees this?;
ASBR111BO;BO;Someone has to get this information to the people.;
ASBR112BO;BO;If they find out I know this stuff, I'm dead.;
ASBR113BO;BO;Oh, man. This stuff is hot.;
ASBR114BO;BO;...since the year dot.;
ASBR115BO;BO;...right under people's noses!;
ASBR116BO;BO;...and nobody seems to care!;
ASBR117BO;BO;Visiting hours are over!;
ASBR118BO;BO;Why does that hydrant keep looking at me?;
ASBR119BO;BO;You can pass it over the counter, but that don't make it over the counter!;
ASBR120BO;BO;No insubordination, right boss? Right?;
ASBR121BO;BO;Okay, Boss?;
