id;character;origin_dialogue;translated_dialogue
THSD001BE;BE;No, I am not kidding! We need more flowers for the musical number! And let's pick up the pace on the lighting cues, huh?;
THSD002BE;BE;Okay, people, let's go.  I want to see happy! Happy, happy, happy!;
THSD003BE;BE;Hey, you!  You are not selling me happy! Don't make me come over there! I will beat it out of you if I have to!;
THSD004BE;BE;Finally!;
THSD005BE;BE;Okay, the leading man is here. Somebody tell wardrobe and make-up. He's cute, but he needs a LOT of work.;
THSD006BE;BE;Where were you? We have been improvising forever! Just go to your mark and be ready with your lines!;
THSD007BE;BE;I HOPE you know your lines!;
THSD041BE;BE;You'd better be right. She'd better show this time!;
THSD042BE;BE;Alright, people, let's go in Five! Four! Three!;
THSD026BE;BE;Okay we need the sun out here, pronto! Cue the sun! Cue the sun!;
THSD027BE;BE;Bonita Soleil, on stage right now!;
THSD028BE;BE;Soleil's a no-show AGAIN. Okay, you know what that means! Time to swap plays! Strike the stage! "Sunshine Shenanigans" is a wrap. Let's set it up for "The Horror of Hagatha Home" on the double! Let's go go go!;
THSD029HF;HF;Ahhhhh!;
THSD030HF;HF;Hey, there hi there ho there, little buddy! Wwwwwwwwhat makes you want to go in a dark ol' place like that?;
THSD031SF;SF;There's nothing in there but a bunch of frowny-downy, mopey-dopey, sad-face memories!;
THSD032FF;FF;Yeah, ain't no happy place no how! You don't wanna go in there.;
THSD033HF;HF;What's that? You don't want to go in there? Why, that's just swell!;
THSD034HF;HF;Yay!;
THSD035HF;HF;Hey, buddy! Don't go there! Ha ha!;
THSD036HF;HF;Ha ha!;
THSD038HF;HF;No, seriously. DON'T. GO. THERE.;
THSD039HF;HF;Ha ha ha!;
THSD040HF;HF;HA HA!;
THSN001HT;HT;Bad! Bad girls! All I see are bad girls! Especially you!;
THSN002ST;ST;Me? But what did I do?;
THSN003FT;FT;You forgot yer lines stupid!;
THSN004HT;HT;Your parents paid a lot of money to send you here to Hagatha Home School for Girls!;
THSN005ST;ST;I don't want to study theater! I don't want to study dance! I want to go home!;
THSN006FT;FT;What fur? You parents don't want ya, or they wouldn'ta sent ya here, now would they! Ha ha!;
THSN007ST;ST;Well, then. Neither do yours!;
THSN008FT;FT;She's right!;
THSN009HT;HT;Ohhhh-oh! Oh, oh, oh. Ohhhh-ohhhhh ohhhhh! OH!;
THSN010ST;ST;Hey, you! Do you know your lines!?;
THSN011RA;RA;Uh...;
THSN012ST;ST;This little girl doesn't know her lines!;
THSN013FT;FT;Get 'er!;
THSN014HT;HT;Ahhhhhhhh!;
THSD044BE;BE;Don't bug me with that. Do I look like the prop master?;
THSD045BE;BE;Will that help me find the understudy for puppy #10? Hmmm? No? THEN IT'S OF NO USE TO ME!!!;
THSD046BE;BE;Do I need this? Do I need more stress???;
THSD047BE;BE;Out of the way, prop!;
THSD048BE;BE;Yeah, yeah, yeah. Whatever.;
THSD049BE;BE;Not on my stage, kid!;
THSD050BE;BE;Don't touch anything! This is an extremely controlled environment!;
THSD051BE;BE;Everything is as it should be!;
THSD052BE;BE;A place for every actor and every actor in their place!;
THSD053BE;BE;I can do this. I can do this. I can do this.;
THSD054BE;BE;I am in control. I am in control. I am in control.;
THSD055BE;BE;People are listening to me. People listen to me. People care about what I have to say. People respect me. People are listening to me.;
THSD056BE;BE;Why do you all hate me!?!;
THSD057BE;BE;Oh, shut up, you stupid, happy, morons.;
THSD058BE;BE;The only thing that would help this play is weed killer!;
THSD059BE;BE;Okay, forget I said that! I just want happy! Happy, happy, happy!;
THSD060BE;BE;Come on. Use it in your acting.;
THSD061BE;BE;You're professionals!;
THSD062BE;BE;Let's go go go!;
THSD063BE;BE;Make way!;
THSD064BE;BE;Hey! I'll pluck those wings off one by one if you don't do what I say!;
THSD065BE;BE;Don't mess with me, you mutts. I know a vet who owes me a favor!;
THSD066SF;SF;Ha ha! Look at what he's got!;
THSD067HF;HF;Hey, that makes me happy!;
THSD068HF;HF;What's up, friend? Want to do the happy dance?;
THSD069HF;HF;Weee-heel, that's not very happy, is it?;
THSD070SF;SF;I think you need a caboose hug!;
THSN015HT;HT;What's that? Are you threatening me, little girl?;
THSN016RA;RA;I'm not a girl!;
