id;character;origin_dialogue;translated_dialogue
WWAB000FR;FR;(Sigh.);
WWAB004FR;FR;(Yawn.);
WWAB005FR;FR;Ffffffppt. ;
WWAB006RA;RA;Who's winning?;
WWAB007NP;NP;Nobody's winning! Want to know who's losing? The Bonaparte family name!;
WWAB008FR;FR;Look, I forfeit, okay? You win! Napoleon Bonaparte wins again!;
WWAB009RA;RA;Is that the real Napoleon Bonaparte? I mean the imaginary real Napoleon Bonaparte?;
WWAB010FR;FR;Yeah, I'm actually related to him, can you believe it? ;
WWAB011NP;NP;Shut up! Stop telling people that shameful fact!;
WWAB012NP;NP;I don't even want to be here, but when this sad excuse for a Bonaparte lost a simple game of war to a feeble minded invalid, I just could not take it anymore!;
WWAB013NP;NP;I was forced to take control, and I will stay in control until I beat the love of victory into this degenerate swine who dares to call himself a Bonaparte!;
WWAB014FR;FR;No, really, great great great grandpa Napoleon. I do love victory, like...;
WWAB015FR;FR;...a ton. I love it so much. You can go now. I swear.;
WWAB016NP;NP;Your move!  ;
WWAB017RA;RA;Who's winning now?;
WWAB018FR;FR;Who do ya think?;
WWAC000NP;NP;Hm.;
WWAC001NP;NP;Hmmm.;
WWAC002NP;NP;Hm!;
WWAC003NP;NP;Hm...;
WWAC004NP;NP;Geh!;
WWAC005NP;NP;Hm-hmm.;
WWAC006NP;NP;Hah ha ha.;
WWAD000RA;RA;Hey, Fred. The problem is people think you don't care.;
WWAD004RA;RA;They think you don't care if they live or die.;
WWAD007FR;FR;Huh.;
WWAD012FR;FR;Hey, you take that little victory if you need it, tiny man. ;
WWAE002RA;RA;How about writing a check, actually? Building an army is going to cost us a little.;
WWAE006FR;FR;I haven't really seen it since I tried to melt it down...;
WWAE009NP;NP;Big surprise there.;
WWAE010RA;RA;So, where do you think that rare coin is?;
WWAE011FR;FR;I don't know. I remember trying to melt it down, and burning my hands, and then running to the kitchen for some ice, and then fainting.;
WWAE013FR;FR;Hey, you found my super valuable, rare coin!;
WWAE014RA;RA;Yeah. Can I have it?;
WWAF001CN;CN;Go away, burglar!;
WWAF003CN;CN;Listen, I know you're a burglar. I've been listening to your footsteps on my roof all night, trying to break in. Why don't you just slide down the chimney? I got a nice fire going for you in here, Mr. Burglar!;
WWAF005CN;CN;Maybe you're a ventriloquist.;
WWAF007CN;CN;Maybe. ;
WWAF008RA;RA;Good enough!;
WWAF010CN;CN;Well, I think you ventriloquist burglars usually walk across those ropes that are tied to my neighbor's roof. ;
WWAF011CN;CN;You know, I should really take those down with all the burglars we have walking around...;
WWAF012RA;RA;Will you join our cause if I take care of your roof burglar?;
WWAG001P1;P1;Go away! Fred Bonaparte has forgotten the people, and we have forgotten him!;
WWAG003P1;P1;He has abandoned us! He doesn't care if we live or die!;
WWAG005P1;P1;I'll believe it when I hear it from him!;
WWAG007P1;P1;Did you talk to Fred Bonaparte yet?;
WWAH001P2;P2;Yes!;
WWAH003P2;P2;Hm. What's the pay?;
WWAH005P2;P2;Pffft! Forget it.;
WWAH006RA;RA;Hi. So now that the guy is gone--;
WWAH008P2;P2;What's the pay?;
WWAH010P2;P2;This work is hazardous.  I want hazard pay.;
WWAH012P2;P2;Not for me you understand. It's to take care of my family once I'm killed. ;
WWAH014P2;P2;Yeah, right.;
WWAH015P2;P2;You just come back when you get Fred to pay up.;
WWAI001P3;P3;Go away! I'm not coming out 'til the soldier's gone! I'm unarmed!;
WWAI003P3;P3;Yeah, nice try.;
WWAI004RA;RA;Hello? I'm recruiting soldiers for the army of the caring and generous Fred Bonaparte--;
WWAI005P3;P3;Weapon.;
WWAI007P3;P3;Weapon. That's what I want. I'm not going to die like the others, okay?;
WWAI009P3;P3;You get me my special Musket and I'll come out. I think I left it buried in some hay in that heavily-guarded building over there.;
WWAI010P3;P3;Then I'll sign up and kill me some Napoleon-lovers. Got it?;
WWAI012RA;RA;Hey, what was it you--;
WWAI013P3;P3;Weapon. Weapon. In the hay, in that building.;
WWAI014RA;RA;Right! Okay! Stay put! ;
WWAJ001KN;KN;Sorry! I can't storm Napoleon's stronghold today. Too weak.;
WWAJ003RA;RA;Want me to call a doctor?;
WWAJ004KN;KN;No, I'm not sick. I just can't find any decent food around here. An army moves on its stomach, you know. An elite force such as I require an elite cuisine, I'm afraid.;
WWAJ006KN;KN;Only the best, young lad. I am a Frenchman, and anything but the finest French delicacy might bruise my palette, and leave me unable to storm anything, save the vomitorium.;
WWAJ011KN;KN;Ooh, that sounds like a grand plan, sir. But not on an empty stomach. ;
WWAJ012KN;KN;I'm sure you understand.;
WWAK002CN;CN;Okay, here I come.;
WWAL004P1;P1;Okay, hurl my innocent bones into the cruel machine of war. I'm ready.;
WWAM002P2;P2;Honey, we can finally buy food for the children!;
WWAM006P2;P2;Anyway, let's go! War ahoy and all that stuff!;
WWAN005P3;P3;Okay, but just as practice.;
WWAO001SN;SN;SO BE IT!!!;
WWAO002SN;SN;If it is truly a time of war then we are ready. We can no longer pull our heads into our shells and hide. We are, after all, armored warriors, and this is our land too. We may not be fast, but we always march upon the glittering path of righteousness, for we create it ourselves from our hearts. Lead us onward, and let us eat holes in the leaves of Napoleon's garden.;
WWAQ002KN;KN;Delicious!;
WWAQ003KN;KN;I haven't had escargot like that since the Duchess' birthday. But even those were not so full of... spirit!;
WWAQ005KN;KN;But do hurry. I believe I may be hungry again soon.;
WWAR004CN;CN;Aw, man.;
WWAR001CN;CN;Yes sir!;
WWAR006CN;CN;How about you fly me over there?;
WWAR007CN;CN;My legs seem to be glued onto this base. Which is kind of weird.;
WWAR008RA;RA;Good work on that bridge there.;
WWAR009CN;CN;Yeah, I think I nailed that one.;
WWAR010CN;CN;Haha! Carpenter joke!;
WWAS001MM;MM;I'm on it! But I can't get over that broken bridge there.;
WWAS002MM;MM;Maybe you could get that lazy Carpenter to fix it?;
WWAS004MM;MM;Okay, I'm ready.;
WWAS005MM;MM;Now put me right next to Napoleon's lackey and you'll see some action!;
WWAT007KN;KN;Right, well, just move me over there and take that snail!;
WWAT009KN;KN;Stronghold!;
WWAV001RA;RA;Give up while you can. Fred's gonna win.;
WWAV002SD;SD;Hahaha.;
WWAV003SD;SD;HAHAHAHA!;
WWAV005SD;SD;But that would be--how you say, ah--cheating.;
WWAW004SD;SD;Haha! Suck on that, bridge!;
WWAW008NP;NP;Ha ha! I like your je ne sais quoi! Your JOI DE VIVRE! Maybe you will teach my long-legged nincompoop a lesson, eh? Alors!;
WWAX000CN;CN;Aw now who went and broke my beautiful bridge?;
WWAZ000KN;KN;I would love to slay that enemy soldier, but I am afraid I must save all of my energy for the stronghold. I have only eaten enough to last me through one great struggle, you see.;
WWBC003SN;SN;Yeah! Us too! Victory!;
WWAM005P2;P2;I just hope she doesn't spend it all on scrapbook-making supplies. She's gone nuts about that stuff. Part of the reason I'm so ready to die. ;
WWAD001FR;FR;What? I care!;
WWAD002NP;NP;Then lead them into victory, milky toast!;
WWAD003FR;FR;Shut up!;
WWAD005FR;FR;What do they want from me? A notice on my official stationary that says I'd be sad if they died?;
WWAD006RA;RA;Yep.;
